epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.037,0.86365,1.7392,1.18686,0.82637,0.48537,0.51341,0.4038,0.9319,1.41167,1.22109,0.000332506,0.000332506,0.000332506
2,856.262,0.79873,1.14006,1.14828,0.85633,0.49384,0.46934,0.37907,0.78248,1.16342,1.12106,0.000659248,0.000659248,0.000659248
3,1380.97,0.77377,1.05007,1.14407,0.88338,0.4914,0.53961,0.44834,0.74618,1.01625,1.10635,0.000979389,0.000979389,0.000979389
4,1852.63,0.74525,0.97308,1.11438,0.86639,0.47516,0.5395,0.45323,0.71587,0.97731,1.10646,0.0009703,0.0009703,0.0009703
5,2321.95,0.72065,0.9234,1.10029,0.90546,0.48886,0.55475,0.47544,0.70878,0.83323,1.0818,0.0009604,0.0009604,0.0009604
6,2737.93,0.70033,0.87205,1.09609,0.92215,0.46628,0.59807,0.50938,0.64734,0.81863,1.05098,0.0009505,0.0009505,0.0009505
7,3172.71,0.68444,0.85095,1.08679,0.88671,0.51836,0.55699,0.48245,0.62752,0.82057,1.04555,0.0009406,0.0009406,0.0009406
8,3598.2,0.6747,0.80546,1.08444,0.4635,0.59588,0.5695,0.49304,0.6486,0.76505,1.05926,0.0009307,0.0009307,0.0009307
9,4011.77,0.6715,0.79992,1.08403,0.91203,0.49667,0.57744,0.49577,0.63997,0.70608,1.03853,0.0009208,0.0009208,0.0009208
10,4421.76,0.67151,0.78969,1.08515,0.65555,0.60462,0.57311,0.48966,0.6104,0.69834,1.01077,0.0009109,0.0009109,0.0009109
11,4825.09,0.63562,0.74232,1.05512,0.92254,0.51177,0.59292,0.51936,0.6023,0.71917,1.02276,0.000901,0.000901,0.000901
12,5229.73,0.63154,0.74158,1.06152,0.91569,0.49536,0.57752,0.50491,0.58424,0.70244,1.01266,0.0008911,0.0008911,0.0008911
13,5643.21,0.62615,0.73001,1.06011,0.9175,0.50521,0.58055,0.5071,0.57797,0.70191,1.01623,0.0008812,0.0008812,0.0008812
14,6049.63,0.62616,0.72813,1.05941,0.93087,0.51282,0.57456,0.50832,0.56589,0.67001,1.00216,0.0008713,0.0008713,0.0008713
15,6490.21,0.60481,0.71415,1.04988,0.63304,0.61382,0.58314,0.51205,0.56808,0.66459,1.03036,0.0008614,0.0008614,0.0008614
